TimeDate,loadMW,loadKVAR,phaseA_amp,phaseA_amp.1,phaseC_amp
2018-01-01 00:00:00,1.4999999100000003,1.3349999099999998,105.35561847599999,75.0,75.0119524
2018-01-01 00:15:00,1.4999999100000003,1.3349999099999998,107.916074275,76.987950802,77.330677509
2018-01-01 00:30:00,1.4999999100000003,1.3349999099999998,110.47652864499997,81.05421781500002,81.364541053
2018-01-01 00:45:00,1.4999999100000003,1.3349999099999998,113.03698492000001,85.12048244399999,85.39840698299999
2018-01-01 01:00:00,1.4999999100000003,1.3349999099999998,115.59743928900001,89.18674707500001,89.432270527
2018-01-01 01:15:00,1.4999999100000003,1.3349999099999998,118.15789508900001,93.253011703,93.46613550100001
2018-01-01 01:30:00,1.4999999100000003,1.3349999099999998,120.718349934,97.31927633400002,97.5
2018-01-01 01:45:00,1.4999999100000003,1.3349999099999998,123.278805733,101.38554239300001,101.533864499
2018-01-01 02:00:00,1.4999999100000003,1.3349999099999998,125.839260102,105.45180797399999,105.56772947300001
2018-01-01 02:15:00,1.4999999100000003,1.3349999099999998,128.399716378,109.518072606,109.601593017
2018-01-01 02:30:00,1.4999999100000003,1.3349999099999998,130.960170746,113.58433723399997,113.635458947
2018-01-01 02:45:00,1.4999999100000003,1.3349999099999998,133.520625115,117.650601864,117.669322491
2018-01-01 03:00:00,1.4999999100000003,1.3349999099999998,83.379764558,81.625302793,81.30898570999999
2018-01-01 03:15:00,1.4999999100000003,1.3349999099999998,80.335968494,80.335968494,79.118993281
2018-01-01 03:30:00,1.4999999100000003,1.3349999099999998,84.33794498500001,84.33794498500001,82.208238124
2018-01-01 03:45:00,1.4999999100000003,1.3349999099999998,88.339920998,88.339920998,85.297482968
2018-01-01 04:00:00,1.4999999100000003,1.3349999099999998,92.34189701,92.34189701,88.38672733200002
2018-01-01 04:15:00,1.4999999100000003,1.3349999099999998,96.34387350100002,96.34387350100002,91.475972653
2018-01-01 04:30:00,1.4999999100000003,1.3349999099999998,100.345849515,100.345849515,94.56521797300002
2018-01-01 04:45:00,1.4999999100000003,1.3349999099999998,104.34782600400001,104.34782600400001,97.654461861
2018-01-01 05:00:00,1.4999999100000003,1.3349999099999998,108.349802494,108.349802494,100.743707181
2018-01-01 05:15:00,1.4999999100000003,1.3349999099999998,112.35177898399999,112.35177898399999,103.83295202299999
2018-01-01 05:30:00,1.4999999100000003,1.3349999099999998,116.35375499700001,116.35375499700001,106.92219686499999
2018-01-01 05:45:00,1.4999999100000003,1.3349999099999998,118.39490747399998,118.37869214899999,110.01144123000002
2018-01-01 06:00:00,1.4999999100000003,1.3349999099999998,112.039710522,111.93784284600002,113.10068654899999
2018-01-01 06:15:00,1.447975485,1.3349999099999998,104.729241848,104.53382015199999,116.18993139299998
2018-01-01 06:30:00,1.2268715739999998,1.3349999099999998,97.41877365100001,97.12979984299999,118.59333705800002
2018-01-01 06:45:00,0.992761597,1.3349999099999998,90.10830211599999,89.72577619500001,107.57999944700002
2018-01-01 07:00:00,0.7586516120000001,1.3349999099999998,82.797834396,82.32175540900002,91.38000011499997
2018-01-01 07:15:00,0.5245416190000001,1.3349999099999998,76.553822518,76.415793896,75.72006940699998
2018-01-01 07:30:00,0.29043162699999997,1.3349999099999998,78.84146357,79.13218974900002,63.458212138000015
2018-01-01 07:45:00,0.05632163600000001,1.3349999099999998,82.957316871,83.21897077700001,51.786743403999985
2018-01-01 08:00:00,-0.177788353,1.3349999099999998,87.07317066300001,87.30575179899999,40.115273952
2018-01-01 08:15:00,-0.41189834500000005,1.3349999099999998,91.18902445000002,91.392532827,33.028098105
2018-01-01 08:30:00,-0.646008336,1.3349999099999998,95.304877755,95.47931384900001,42.75
2018-01-01 08:45:00,-0.8801183320000001,1.3349999099999998,99.42073202399999,99.56609487600002,54.0
2018-01-01 09:00:00,-1.114228301,1.3349999099999998,103.53658533,103.6528759,65.25
2018-01-01 09:15:00,-1.3483383119999999,1.3349999099999998,107.652439116,107.739656926,77.12234067899999
2018-01-01 09:30:00,-1.582448304,1.3349999099999998,111.768292908,111.82643794900001,91.276595592
2018-01-01 09:45:00,-1.8135500469999999,1.3349999099999998,115.88414621,115.913218975,105.63829803499999
2018-01-01 10:00:00,-1.7979781529999999,1.3349999099999998,102.090045452,101.63489437200002,95.70917916200001
2018-01-01 10:15:00,-1.6259789890000003,1.3349999099999998,119.96986293599998,124.005867956,109.005868433
2018-01-01 10:30:00,-1.453979827,1.3349999099999998,105.37974691299999,120.37974357399999,105.37974691299999
2018-01-01 10:45:00,-1.281980659,1.3349999099999998,59.919909476,74.91990995299999,59.919909476
2018-01-01 11:00:00,-1.1099814940000001,1.3349999099999998,73.6842103,88.6842103,73.6842103
2018-01-01 11:15:00,-0.93798231,1.3349999099999998,83.31424212399999,97.726006984,88.22600579200001
2018-01-01 11:30:00,-0.765983128,1.3349999099999998,92.65562534399999,95.53921556500002,51.705882550000005
2018-01-01 11:45:00,-0.5939839589999999,1.3349999099999998,118.726371289,115.81428432300001,94.944799899
2018-01-01 12:00:00,-0.42198479099999997,1.3349999099999998,139.261363983,115.45425653499998,140.15625
2018-01-01 12:15:00,-0.24998563000000001,1.3349999099999998,123.920454503,101.957040309,126.09375
2018-01-01 12:30:00,-0.07798646899999999,1.3349999099999998,108.33379125699999,89.06921243800001,112.03125
2018-01-01 12:45:00,0.094012698,1.3349999099999998,87.93955993599998,76.18138408699998,92.183544636
2018-01-01 13:00:00,0.26601187400000004,1.3349999099999998,69.19059848799999,66.519862651,68.699016095
